NO_OF_PEDESTRIANS,TIME (hh),DAY,RED_LIGHT_CAMERA,COLLISION_ID,LOCATION,LONGITUDE,LATITUDE,Year,MONTH,Date,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE
0,Evening,0,0,13-9980,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54007146,45.46419279,2013,Oct,9,01 - Clear,07 - Dark,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-10227,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015207,45.46418618,2013,Oct,17,01 - Clear,07 - Dark,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,1,0,13-10892,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54003796,45.46413421,2013,Nov,3,01 - Clear,05 - Dusk,01 - Dry,03 - Yield sign,03 - P.D. only,03 - Rear end
0,Morning,0,0,13-10936,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015282,45.46414246,2013,Nov,5,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,03 - Rear end
0,Afternoon,0,0,13-11239,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014132,45.46414236,2013,Nov,13,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Afternoon,1,0,13-11716,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015282,45.46414246,2013,Nov,24,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Afternoon,1,0,13-11801,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014107,45.46415694,2013,Nov,23,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Morning,0,0,13-12139,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015513,45.46414175,2013,Dec,3,01 - Clear,01 - Daylight,02 - Wet,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-12199,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54010633,45.46417122,2013,Nov,28,01 - Clear,07 - Dark,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-12412,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016431,45.46414256,2013,Dec,9,01 - Clear,07 - Dark,04 - Slush,03 - Yield sign,03 - P.D. only,03 - Rear end
0,Afternoon,0,0,13-12949,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016419,45.46414984,2013,Dec,19,01 - Clear,01 - Daylight,02 - Wet,03 - Yield sign,03 - P.D. only,02 - Angle
0,Afternoon,1,0,13-13607,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54007233,45.46414178,2013,Nov,30,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-421,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013478,45.4641455,2014,Jan,9,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-1798,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013518,45.46414719,2014,Feb,7,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-2244,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012306,45.46414709,2014,Feb,17,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-2353,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013547,45.46413014,2014,Feb,19,01 - Clear,01 - Daylight,02 - Wet,11 - Roundabout,03 - P.D. only,02 - Angle
